,Tahun,TPT Jabar,TPAK Jabar,Jumlah Angkatan Kerja Jabar,Pendaftaran Pencari Kerja Jabar,Lowongan Kerja Terdaftar Jabar,Penempatan/Pemenuhan Tenaga Kerja Jabar,Laju Pertumbuhan Ekonomi Indonesia (dengan migas),Laju Pertumbuhan PDRB atas dasar Harga Konstan (tanpa migas),Laju Pertumbuhan Penduduk Jawa Barat,Laju Inflasi Indonesia,Laju Inflasi (Umum) Bandung,Angka Partisipasi Murni (APM) PT 19-24 th (Indonesia),Indeks Pembangunan Manusia Jabar
0,1986,10.35,52.0,10777.0,113425.0,14235.0,9938.0,2.0622057956467303,6.9,2.57,8.83,10.19,5.606228791388243,67.18574165614463
1,1987,3.74,51.8,12176912.0,170318.0,41504.0,35262.0,2.231938068183764,5.44,2.57,8.9,8.63,5.808557731082633,67.14370158987919
2,1988,4.24,52.4,13034940.0,169643.0,50830.0,36029.0,2.4016703407207984,9.11,2.57,5.47,4.5,6.010886670777021,67.10166152361379
3,1989,4.09,51.1,12628900.0,226599.0,57720.0,49541.0,2.571402613257832,8.74,2.57,5.97,5.07,6.213215610471412,67.05962145734836
4,1990,3.23,51.6,13152203.0,228231.0,66519.0,45556.0,2.7411348857948656,8.95,2.24,9.53,9.67,6.4155445501658,67.01758139108293
5,1991,3.91,51.2,13790183.0,267028.0,70364.0,68257.0,2.9108671583319,7.56,2.24,9.52,9.29,6.617873489860191,66.9755413248175
6,1992,3.62,51.9,14427818.0,267200.94534194015,82875.00847341266,81463.9730856553,3.080599430868934,7.67,2.24,4.94,4.51,6.82020242955458,66.93350125855208
7,1993,3.82,50.7,14438033.0,267374.0,95386.0,94671.0,3.2503317034059673,8.297305640682733,2.24,9.77,9.76,7.022531369248971,66.89146119228666
8,1994,5.87,51.9,15370221.023390848,246792.61548954947,107980.008880147,102935.51176362394,3.420063975943002,7.04,2.24,9.24,9.33,7.92,66.84942112602123
9,1996,6.71,52.5,16302409.0,226211.0,120574.0,111200.0,3.5897962484800363,8.34,2.24,6.47,6.54,7.68,68.2
10,1997,6.42,59.2,16380010.0,324645.0,130744.0,114997.0,3.7595285210170695,5.06,2.24,11.05,9.95,7.68,66.76534099349038
11,1998,7.69,60.4,16925969.0,243228.0,118611.0,100685.0,3.9292607935541035,-18.74,2.24,77.63,72.59,8.04,66.72330092722495
12,1999,9.83,61.91,17945410.0,263154.40252051415,94820.4492410939,78174.44963784181,3.66,-11.21,2.24,2.01,4.29,8.23,64.6
13,2000,8.99,68.54,17500029.6081016,283081.0,71030.0,55664.0,4.9,4.75,2.24,9.4,8.52,7.95,66.63922079469411
14,2001,11.77,69.2,17054649.711899135,25373.0,7790.0,4484.0,3.6,5.71,1.9,12.6,11.61,7.99,66.59718072842868
15,2002,13.19,63.33,16609270.0,31025.0,4844.0,2689.0,4.5,4.22,1.9,10.0,11.97,8.09,65.8
16,2003,12.49,60.36,16082417.0,7024.0,1054.0,3134.0,4.8,5.13,1.9,5.1,5.69,8.55,67.64686873539772
17,2004,13.69,62.45,16827330.0,28569.652868350535,12490.510823554449,9095.612778260778,5.0,5.48,1.9,6.4,7.56,8.57,69.1
18,2005,15.13,62.88,17157083.0,50115.0,23927.0,15057.0,5.7,6.23,1.9,17.1,19.58,8.71,69.93
19,2006,14.545,61.62,17559103.0,159148.0,27430.0,65179.0,5.5,6.31,1.9,6.6,5.33,8.87,70.32
20,2007,13.795,61.615,18240036.0,23443.0,20069.0,10137.0,6.3,6.86,1.9,6.6,5.25,9.64,70.71
21,2008,12.18,62.49,18743979.0,311901.0,267372.0,233316.0,6.0,6.36,1.9,11.1,10.23,10.07,71.12
22,2009,11.405,63.225,18981260.0,218524.24897701558,184374.52299976096,160629.72532295863,4.6,4.1,1.9,2.8,2.11,10.3,71.64
23,2010,10.45,62.74,18893835.0,125148.24058294746,101377.88379161738,87944.49503084933,6.2,6.41,1.9,7.0,4.53,11.01,66.15
24,2011,9.985,63.825,19356624.0,31772.0,18381.0,15259.0,6.2,6.79,1.11,3.8,2.75,12.56,66.67
25,2012,9.46,63.95,20150094.0,107434.03008747792,56079.59598931916,44159.61630920451,6.0,6.5,1.11,4.3,4.02,13.48,67.32
26,2013,9.02,63.39,20284633.0,183096.0,93778.0,73060.0,5.6,6.33,1.11,8.4,7.97,18.08,68.25
27,2014,8.555,63.565,21006139.0,176220.0,123515.0,110302.0,5.0,5.09,1.11,8.4,7.76,20.18,68.8
28,2015,8.56,63.21,20586356.0,190242.0,127131.0,130994.0,4.9,5.05,1.11,3.4,3.93,17.34,69.5
29,2016,8.73,62.54,21075899.0,190242.0,132143.0,128421.0,5.0,5.66,1.11,3.0,2.93,17.91,70.05
30,2017,8.355,63.97,22391003.0,77615.0,32298.0,13137.0,5.1,5.33,1.11,3.6,3.46,18.62,70.69
31,2018,8.225,63.37,22628122.0,46038.0,6592.0,202.0,5.2,5.65,1.11,3.1,3.76,18.59,71.3
32,2019,7.91,65.345,23804465.0,104689.0,6061.0,2910.0,5.0,5.02,1.11,2.7,2.78,18.85,72.03
33,2020,9.085,65.21,24207930.0,1310894.0,595499.0,449249.0,-2.1,-2.52,1.11,1.7,1.75,19.32,72.09
34,2021,9.37,64.89,24743628.0,734897.0,68793.0,67625.0,3.7,3.74,1.33,1.9,1.65,19.59,72.45
35,2022,8.33,66.23,25578174.0,292753.0,7624.0,6979.0,5.3,5.45,1.33,5.5,7.45,20.84,73.12
